título,precio,habitaciones,área,ascensor
"Piso en Son Cladera - Son Fuster, Palma de Mallorca",299.000€,3 hab.,117 m²,True
"Casa o chalet independiente en Son Espanyolet, Palma de Mallorca",1.285.000€,4 hab.,254 m²,False
"Finca rústica en Son Ferriol, Palma de Mallorca",1.390.000€,4 hab.,700 m²,False
"Piso en calle de Rossiñol, 2, Sta Catalina - El Jonquet, Palma de Mallorca",699.000€,4 hab.,206 m²,True
"Piso en Marqués de la Fontsanta, Palma de Mallorca",299.000€,3 hab.,119 m²,True
"Piso en Sta Catalina - El Jonquet, Palma de Mallorca",720.000€,3 hab.,198 m²,True
"Casa o chalet independiente en Cort, Palma de Mallorca",490.000€,3 hab.,120 m²,False
"Piso en Pere Garau, Palma de Mallorca",250.000€,3 hab.,100 m²,True
"Casa o chalet independiente en Les Maravelles, Palma de Mallorca",790.000€,7 hab.,373 m²,False
"Piso en calle Joan Maragall, 37, Portixol-Molinar, Palma de Mallorca",995.000€,4 hab.,231 m²,True
"Piso en avenida Mexic 11 -, 13, Nou Llevant, Palma de Mallorca",995.000€,4 hab.,122 m²,True
"Piso en Bons Aires, Palma de Mallorca",649.900€,3 hab.,178 m²,True
"Piso en La Missio - Mercat, Palma de Mallorca",795.000€,4 hab.,161 m²,True
"Piso en avenida Mexic 11 -, 13, Nou Llevant, Palma de Mallorca",2.550.000€,2 hab.,216 m²,True
"Finca rústica en Son Ferriol, Palma de Mallorca",1.390.000€,4 hab.,700 m²,False
"Casa o chalet independiente en calle de Binifaldó, Son Vida, Palma de Mallorca",6.900.000€,5 hab.,834 m²,False
"Casa o chalet independiente en Ses Cadenes-Arenal, Palma de Mallorca",830.000€,4 hab.,436 m²,False
"Piso en calle Gaspar Bennazar, Plaça de Toros, Palma de Mallorca",406.000€,3 hab.,96 m²,True
"Piso en Camp Redo, Palma de Mallorca",280.000€,4 hab.,117 m²,True
"Piso en calle Sureda y calle Regal de Palma, s/n, La Soledat, Palma de Mallorca",405.000€,3 hab.,125 m²,True
"Piso en Vi, La Llotja, Palma de Mallorca",255.000€,1 hab.,47 m²,True
"Piso en calle Sureda y calle Regal de Palma, s/n, La Soledat, Palma de Mallorca",355.000€,2 hab.,77 m²,True
"Piso en carretera Arenal, Ses Cadenes-Arenal, Palma de Mallorca",424.000€,2 hab.,160 m²,True
"Finca rústica en Establiments - Son Sardina, Palma de Mallorca",590.000€,4 hab.,257 m²,False
"Piso en avenida d'Alexandre Rosselló, La Missio - Mercat, Palma de Mallorca",745.000€,3 hab.,160 m²,True
"Piso en calle Castillejos, Coll d'En Rabassa, Palma de Mallorca",249.000€,2 hab.,62 m²,True
"Piso en calle del Puig de Pollença, La Bonanova - Porto Pi, Palma de Mallorca",1.499.900€,3 hab.,146 m²,True
"Casa o chalet independiente en Establiments - Son Sardina, Palma de Mallorca",915.000€,5 hab.,354 m²,False
"Piso en Son Armadams, Palma de Mallorca",680.000€,3 hab.,142 m²,True
"Piso en avenida de Jaume III, Sant Jaume, Palma de Mallorca",615.000€,3 hab.,93 m²,True
"Dúplex en calle délionor servera, 10, La Bonanova - Porto Pi, Palma de Mallorca",1.980.000€,2 hab.,187 m²,True
"Piso en calle de Salvà, Camp d'En Serralta , Palma de Mallorca",299.000€,4 hab.,97 m²,True
"Piso en joan miro, 172, La Bonanova - Porto Pi, Palma de Mallorca",210.000€,1 hab.,42 m²,True
"Piso en Porto Pi, La Bonanova - Porto Pi, Palma de Mallorca",560.000€,3 hab.,85 m²,True
"Piso en avenida de Gabriel Roca, La Bonanova - Porto Pi, Palma de Mallorca",325.000€,2 hab.,60 m²,True
"Piso en via Sindicato, La Missio - Mercat, Palma de Mallorca",740.000€,7 hab.,221 m²,True
"Piso en calle del Busqueret, Son Xigala, Palma de Mallorca",212.000€,3 hab.,93 m²,False
"Casa o chalet independiente en calle son Nadalet, La Soledat, Palma de Mallorca",455.000€,3 hab.,170 m²,False
"Piso en calle del Bisbe Maura, Marqués de la Fontsanta, Palma de Mallorca",320.000€,3 hab.,115 m²,True
"Piso en calle Eusebi Estada, Arxiduc, Palma de Mallorca",398.000€,3 hab.,120 m²,True
"Piso en Son Ferriol, Palma de Mallorca",2.650.000€,3 hab.,280 m²,True
"Casa o chalet independiente en Son Dureta, Son Dureta, Palma de Mallorca",3.200.000€,5 hab.,550 m²,False
"Piso en plaza de Cort, Cort, Palma de Mallorca",695.000€,2 hab.,135 m²,True
"Piso en calle de Maria Ignàsia Cortes, Ses Cadenes-Arenal, Palma de Mallorca",390.000€,4 hab.,119 m²,True
"Piso en La Llotja, Palma de Mallorca",595.000€,3 hab.,119 m²,True
"Piso en joan miro, 172, La Bonanova - Porto Pi, Palma de Mallorca",210.000€,1 hab.,42 m²,True
"Piso en calle de Francesc de Borja Moll, 20, La Missio - Mercat, Palma de Mallorca",740.000€,4 hab.,145 m²,True
"Dúplex en calle délionor servera, 10, La Bonanova - Porto Pi, Palma de Mallorca",1.980.000€,2 hab.,187 m²,True
"Piso en calle de l'Arxiduc Lluís Salvador, L'Olivera - Amanecer, Palma de Mallorca",339.000€,1 hab.,53 m²,True
"Piso en calle noruega, 4, Sant Agustí, Palma de Mallorca",390.000€,3 hab.,120 m²,True
"Piso en calle del Capità Vila, s/n, Pere Garau, Palma de Mallorca",399.000€,4 hab.,169 m²,True
"Piso en calle de Salvà, Camp d'En Serralta , Palma de Mallorca",299.000€,4 hab.,97 m²,True
"Casa o chalet independiente en calle del Sol, Monti-Sión, Palma de Mallorca",1.590.000€,3 hab.,325 m²,False
"Piso en El Vivero, Palma de Mallorca",480.000€,4 hab.,261 m²,True
"Piso en Porto Pi, La Bonanova - Porto Pi, Palma de Mallorca",560.000€,3 hab.,85 m²,True
"Piso en calle de Niceto Alcalá Zamora, El Forti, Palma de Mallorca",375.000€,3 hab.,139 m²,True
"Piso en calle d'Erwin Hubert, 6, Portixol-Molinar, Palma de Mallorca",335.000€,3 hab.,105 m²,True
"Chalet en El Terreno, Palma de Mallorca",3.450.000€,3 hab.,356 m²,False
"Ático en Franca, 4, El Terreno, Palma de Mallorca",580.000€,2 hab.,155 m²,True
"Ático en Annibal, Sta Catalina - El Jonquet, Palma de Mallorca",950.000€,3 hab.,158 m²,True
"Piso en calle dels fideus, s/n, Cort, Palma de Mallorca",550.000€,2 hab.,85 m²,True
"Piso en avenida de Jaume III, 26, Sant Jaume, Palma de Mallorca",780.000€,3 hab.,163 m²,True
"Piso en Foners, Palma de Mallorca",187.000€,3 hab.,80 m²,True
"Piso en calle de Cotlliure, Camp Redo, Palma de Mallorca",203.128€,4 hab.,133 m²,True
"Dúplex en Son Ferriol, Palma de Mallorca",320.000€,3 hab.,90 m²,True
"Piso en calle d'Erwin Hubert, 6, Portixol-Molinar, Palma de Mallorca",335.000€,3 hab.,105 m²,True
"Ático en Mestre perosi, 24, El Vivero, Palma de Mallorca",247.500€,3 hab.,160 m²,True
"Ático en calle del reial patrimon, 2, El Terreno, Palma de Mallorca",690.000€,3 hab.,186 m²,True
"Piso en Foners, Palma de Mallorca",187.000€,3 hab.,80 m²,True
"Piso en calle de Bartomeu Xamena, 18, Les Maravelles, Palma de Mallorca",690.000€,4 hab.,160 m²,True
"Piso en calle de Jaume Balmes, Plaça de Toros, Palma de Mallorca",357.000€,4 hab.,240 m²,True
"Dúplex en Son Ferriol, Palma de Mallorca",320.000€,3 hab.,90 m²,True
"Piso en avenida Nacional, Ses Cadenes-Arenal, Palma de Mallorca",480.000€,4 hab.,212 m²,True
"Piso en calle de la Llibertat, Sta Catalina - El Jonquet, Palma de Mallorca",299.000€,2 hab.,78 m²,True
"Piso en Son Espanyolet, Palma de Mallorca",299.000€,2 hab.,65 m²,True
"Chalet en Sant Agustí, Palma de Mallorca",1.500.000€,5 hab.,375 m²,False
"Finca rústica en Sa Casa Blanca, Palma de Mallorca",2.500.000€,6 hab.,1.969 m²,False
"Chalet en Son Rapinya - Los Almendros, Palma de Mallorca",3.490.000€,8 hab.,730 m²,False
"Ático en Bons Aires, Palma de Mallorca",1.850.000€,5 hab.,563 m²,False
"Casa o chalet independiente en Genova, Palma de Mallorca",620.000€,2 hab.,120 m²,False
"Chalet en Son Rapinya - Los Almendros, Palma de Mallorca",2.150.000€,6 hab.,543 m²,False
"Piso en Plaça de Toros, Palma de Mallorca",369.000€,2 hab.,104 m²,True
"Casa o chalet independiente en calle Illes Balears, La Teulera, Palma de Mallorca",720.000€,3 hab.,168 m²,False
"Finca rústica en Son Roca - Son Ximelis - Son Anglada, Palma de Mallorca",3.595.000€,9 hab.,720 m²,False
"Chalet en S'Aranjassa - Es Pil.larí, Palma de Mallorca",1.470.000€,4 hab.,434 m²,False
"Piso en Sant Nicolau, Palma de Mallorca",3.400.000€,3 hab.,479 m²,False
"Finca rústica en Establiments - Son Sardina, Palma de Mallorca",5.750.000€,15 hab.,3.279 m²,False
"Ático en La Missio - Mercat, Palma de Mallorca",690.000€,2 hab.,69 m²,True
"Piso en Ses Cadenes-Arenal, Palma de Mallorca",390.000€,4 hab.,105 m²,True
"Chalet en Son Roca - Son Ximelis - Son Anglada, Palma de Mallorca",5.975.000€,11 hab.,1.243 m²,False
"Chalet en Son Rapinya - Los Almendros, Palma de Mallorca",2.390.000€,8 hab.,730 m²,False
"Chalet en Cort, Palma de Mallorca",1.290.000€,3 hab.,211 m²,False
"Piso en La Bonanova - Porto Pi, Palma de Mallorca",1.200.000€,4 hab.,303 m²,True
"Chalet en Monti-Sión, Palma de Mallorca",3.430.000€,15 hab.,1.000 m²,False
"Chalet en Cort, Palma de Mallorca",5.450.000€,12 hab.,636 m²,False
"Piso en La Bonanova - Porto Pi, Palma de Mallorca",1.590.000€,4 hab.,320 m²,False
"Casa o chalet independiente en Les Maravelles, Palma de Mallorca",1.890.000€,5 hab.,324 m²,False
"Chalet en Establiments - Son Sardina, Palma de Mallorca",4.000.000€,7 hab.,566 m²,False
"Chalet en Cort, Palma de Mallorca",1.290.000€,3 hab.,211 m²,False
"Chalet en Establiments - Son Sardina, Palma de Mallorca",733.000€,3 hab.,240 m²,False
"Chalet en Sant Agustí, Palma de Mallorca",1.500.000€,5 hab.,375 m²,False
"Piso en Son Armadams, Palma de Mallorca",680.000€,4 hab.,140 m²,True
"Ático en Sta Catalina - El Jonquet, Palma de Mallorca",1.950.000€,4 hab.,210 m²,True
"Piso en Son Espanyolet, Palma de Mallorca",299.000€,2 hab.,65 m²,True
"Piso en La Bonanova - Porto Pi, Palma de Mallorca",1.200.000€,4 hab.,303 m²,True
"Piso en Sant Jaume, Palma de Mallorca",1.560.000€,5 hab.,192 m²,True
"Chalet en Son Roca - Son Ximelis - Son Anglada, Palma de Mallorca",5.975.000€,11 hab.,1.243 m²,False
"Chalet en Son Rapinya - Los Almendros, Palma de Mallorca",3.490.000€,8 hab.,730 m²,False
"Ático en Bons Aires, Palma de Mallorca",1.850.000€,5 hab.,563 m²,False
"Chalet en Monti-Sión, Palma de Mallorca",3.430.000€,15 hab.,1.000 m²,False
"Piso en calle de la Llibertat, Sta Catalina - El Jonquet, Palma de Mallorca",299.000€,2 hab.,78 m²,True
"Chalet en Genova, Palma de Mallorca",12.500.000€,10 hab.,1.680 m²,False
"Piso en Plaça de Toros, Palma de Mallorca",369.000€,2 hab.,104 m²,True
"Piso en Sant Nicolau, Palma de Mallorca",3.400.000€,3 hab.,479 m²,False
"Ático en La Bonanova - Porto Pi, Palma de Mallorca",1.985.000€,2 hab.,212 m²,False
"Ático en Zona Colegios - Son Moix, Palma de Mallorca",1.200.000€,4 hab.,233 m²,False
"Finca rústica en Sa Casa Blanca, Palma de Mallorca",2.500.000€,6 hab.,1.969 m²,False
"Chalet en Son Dureta, Palma de Mallorca",2.300.000€,4 hab.,490 m²,False
"Chalet en Son Rapinya - Los Almendros, Palma de Mallorca",2.390.000€,8 hab.,730 m²,False
"Piso en Portixol-Molinar, Palma de Mallorca",1.100.000€,3 hab.,120 m²,True
"Ático en Sant Jaume, Palma de Mallorca",850.000€,3 hab.,196 m²,True
"Ático en Portixol-Molinar, Palma de Mallorca",413.000€,2 hab.,155 m²,True
"Casa o chalet independiente en calle Illes Balears, La Teulera, Palma de Mallorca",720.000€,3 hab.,168 m²,False
"Chalet en Cort, Palma de Mallorca",5.450.000€,12 hab.,636 m²,False
"Piso en Sindicat, Palma de Mallorca",575.000€,3 hab.,180 m²,False
"Dúplex en La Llotja, Palma de Mallorca",3.400.000€,4 hab.,392 m²,True
"Chalet en S'Aranjassa - Es Pil.larí, Palma de Mallorca",1.470.000€,4 hab.,434 m²,False
"Chalet en Sant Agustí, Palma de Mallorca",1.500.000€,5 hab.,375 m²,False
"Chalet en Establiments - Son Sardina, Palma de Mallorca",733.000€,3 hab.,240 m²,False
"Piso en Ses Cadenes-Arenal, Palma de Mallorca",390.000€,4 hab.,105 m²,True
"Ático en Bons Aires, Palma de Mallorca",1.850.000€,5 hab.,563 m²,False
"Piso en Sant Agustí, Palma de Mallorca",950.000€,4 hab.,140 m²,True
"Ático en Plaça de Toros, Palma de Mallorca",575.000€,4 hab.,144 m²,True
"Casa o chalet independiente en La Bonanova - Porto Pi, Palma de Mallorca",1.950.000€,9 hab.,375 m²,False
"Ático en La Missio - Mercat, Palma de Mallorca",2.400.000€,7 hab.,350 m²,True
"Chalet adosado en Cala Major, Palma de Mallorca",430.000€,3 hab.,172 m²,False
"Piso en Foners, Palma de Mallorca",255.000€,4 hab.,145 m²,True
"Casa o chalet independiente en Son Roca - Son Ximelis - Son Anglada, Palma de Mallorca",580.000€,7 hab.,300 m²,False
"Piso en av mexic, Nou Llevant, Palma de Mallorca",348.500€,2 hab.,88 m²,True
"Piso en Son Dameto, Palma de Mallorca",315.000€,3 hab.,122 m²,True
"Chalet adosado en Can Pastilla, Palma de Mallorca",325.000€,5 hab.,150 m²,False
"Piso en Sant Jaume, Palma de Mallorca",1.980.000€,3 hab.,206 m²,True
"Chalet en Monti-Sión, Palma de Mallorca",3.700.000€,7 hab.,621 m²,False
"Piso en av mexic, Nou Llevant, Palma de Mallorca",386.500€,3 hab.,99 m²,True
"Piso en Sindicat, Palma de Mallorca",580.000€,3 hab.,125 m²,True
"Piso en Son Cotoner, Palma de Mallorca",319.900€,4 hab.,111 m²,True
"Dúplex en La Missio - Mercat, Palma de Mallorca",875.000€,2 hab.,150 m²,True
"Piso en calle d'Anníbal, Sta Catalina - El Jonquet, Palma de Mallorca",590.000€,2 hab.,65 m²,True
"Piso en calle Aragón, 342, El Vivero, Palma de Mallorca",260.000€,3 hab.,140 m²,True
"Piso en calle de Ramon y Cajal, Camp d'En Serralta , Palma de Mallorca",795.000€,3 hab.,130 m²,True
"Ático en Can Pastilla, Coll d'En Rabassa, Palma de Mallorca",305.000€,3 hab.,114 m²,True
"Casa o chalet independiente en Sant Jordi, Palma de Mallorca",1.650.000€,4 hab.,400 m²,False
"Piso en calle Sant Vicenç Ferrer, La Soledat, Palma de Mallorca",180.000€,4 hab.,111 m²,True
"Ático en La Llotja, Palma de Mallorca",1.790.000€,4 hab.,182 m²,True
"Casa o chalet independiente en La Bonanova - Porto Pi, Palma de Mallorca",2.250.000€,6 hab.,585 m²,False
"Casa o chalet independiente en Sant Jordi, Palma de Mallorca",1.650.000€,4 hab.,400 m²,False
"Chalet pareado en Establiments - Son Sardina, Palma de Mallorca",1.500.000€,4 hab.,330 m²,False
"Ático en La Missio - Mercat, Palma de Mallorca",710.000€,3 hab.,144 m²,True
"Chalet adosado en Ses Cadenes-Arenal, Palma de Mallorca",1.150.000€,282 m²,NA,False
"Piso en calle d'Anníbal, Sta Catalina - El Jonquet, Palma de Mallorca",590.000€,2 hab.,65 m²,True
"Piso en calle de la Barrera de Baix, Sta Catalina - El Jonquet, Palma de Mallorca",395.000€,2 hab.,82 m²,True
"Casa o chalet independiente en Son Ferriol, Palma de Mallorca",1.365.000€,6 hab.,400 m²,False
"Piso en calle de Can Serinyà, Sant Jaume, Palma de Mallorca",1.150.000€,3 hab.,163 m²,True
"Ático en Son Canals, Palma de Mallorca",229.000€,2 hab.,72 m²,True
"Ático en La Llotja, Palma de Mallorca",1.790.000€,4 hab.,182 m²,True
"Piso en calle de Ramon y Cajal, Camp d'En Serralta , Palma de Mallorca",795.000€,3 hab.,130 m²,True
"Piso en calle Aragón, 342, El Vivero, Palma de Mallorca",260.000€,3 hab.,140 m²,True
"Casa o chalet independiente en La Bonanova - Porto Pi, Palma de Mallorca",2.250.000€,6 hab.,585 m²,False
"Casa o chalet independiente en calle Pinar-Park-D, Son Vida, Palma de Mallorca",3.150.000€,6 hab.,600 m²,False
"Piso en calle de Saridakis, Cala Major, Palma de Mallorca",255.000€,1 hab.,60 m²,True
"Casa o chalet independiente en Son Armadams, Palma de Mallorca",2.300.000€,4 hab.,565 m²,False
"Piso en Cuba, Portixol-Molinar, Palma de Mallorca",305.000€,2 hab.,97 m²,True
"Casa o chalet independiente en carretera Diseminado 4417- Son Sardina, 1, Establiments - Son Sardina, Palma de Mallorca",1.190.000€,7 hab.,500 m²,False
"Piso en Fray Luis De Leon, Camp d'En Serralta , Palma de Mallorca",650.000€,3 hab.,150 m²,True
"Piso en calle de l'Arxiduc Lluís Salvador, L'Olivera - Amanecer, Palma de Mallorca",375.000€,4 hab.,134 m²,True
"Finca rústica en Son Ferriol, Palma de Mallorca",2.500.000€,5 hab.,500 m²,False
"Piso en miquel porcel, Son Espanyolet, Palma de Mallorca",430.000€,3 hab.,150 m²,True
"Casa o chalet independiente en Establiments - Son Sardina, Palma de Mallorca",2.400.000€,7 hab.,900 m²,False
"Ático en Camp Redo, Palma de Mallorca",560.000€,4 hab.,209 m²,True
"Finca rústica en Establiments - Son Sardina, Palma de Mallorca",830.000€,3 hab.,450 m²,False
"Piso en calle de Josep Maria Palau I Camps, Portixol-Molinar, Palma de Mallorca",799.000€,3 hab.,226 m²,False
"Chalet pareado en Son Xigala, Palma de Mallorca",1.260.000€,4 hab.,207 m²,False
"Casa o chalet independiente en calle Punxuat, Son Gual, Palma de Mallorca",2.200.000€,4 hab.,306 m²,False
"Casa o chalet independiente en calle de Bellver, El Terreno, Palma de Mallorca",1.690.000€,3 hab.,252 m²,False
"Chalet adosado en Zona Colegios - Son Moix, Palma de Mallorca",459.000€,4 hab.,166 m²,False
"Piso en Niceto Alcala Zamora, 2, El Forti, Palma de Mallorca",295.000€,3 hab.,119 m²,True
"Piso en calle de Miquel Pellisa, Les Maravelles, Palma de Mallorca",225.000€,1 hab.,53 m²,True
"Piso en El Terreno, Palma de Mallorca",2.000.000€,4 hab.,425 m²,True
"Piso en calle Llacuna de Sanabria, Son Rapinya - Los Almendros, Palma de Mallorca",225.000€,4 hab.,100 m²,True
"Piso en calle de Bover, Camp d'En Serralta , Palma de Mallorca",260.000€,2 hab.,105 m²,True
"Piso en plaza Sant Cosme, Son Cotoner, Palma de Mallorca",170.000€,3 hab.,70 m²,True
"Piso en Paseo Marítimo, Palma de Mallorca",1.000.000€,2 hab.,150 m²,True
"Casa o chalet independiente en Son Cladera - Son Fuster, Palma de Mallorca",675.000€,3 hab.,271 m²,False
"Casa o chalet independiente en Son Rapinya - Los Almendros, Palma de Mallorca",2.390.000€,6 hab.,550 m²,False
"Piso en Paseo Marítimo, Palma de Mallorca",1.575.000€,5 hab.,280 m²,True
"Casa o chalet independiente en calle Pinar-Park-D, Son Vida, Palma de Mallorca",3.150.000€,6 hab.,600 m²,False
"Piso en Cataluña, Camp d'En Serralta , Palma de Mallorca",720.000€,3 hab.,175 m²,True
"Piso en rector petro, 36, Nou Llevant, Palma de Mallorca",207.500€,3 hab.,100 m²,True
"Piso en camino de Son Gotleu, Son Gotleu, Palma de Mallorca",72.900€,2 hab.,55 m²,True
"Casa o chalet independiente en Sant Agustí, Palma de Mallorca",1.000.000€,4 hab.,250 m²,False
"Piso en calle d'Osca, Rafal Vell, Palma de Mallorca",179.000€,3 hab.,83 m²,True
"Piso en Angels, Sant Jaume, Palma de Mallorca",450.000€,4 hab.,152 m²,True
"Chalet pareado en plaza Pere Garau, s/n, Pere Garau, Palma de Mallorca",398.000€,5 hab.,280 m²,False
"Ático en Camp Redo, Palma de Mallorca",560.000€,4 hab.,209 m²,True
"Casa o chalet independiente en Son Dureta, Palma de Mallorca",1.155.000€,5 hab.,440 m²,False
"Piso en Fray Luis De Leon, Camp d'En Serralta , Palma de Mallorca",650.000€,3 hab.,150 m²,True
"Chalet adosado en Zona Colegios - Son Moix, Palma de Mallorca",459.000€,4 hab.,166 m²,False
"Casa o chalet independiente en Establiments - Son Sardina, Palma de Mallorca",1.460.000€,4 hab.,418 m²,False
"Casa o chalet independiente en carretera Diseminado 4417- Son Sardina, 1, Establiments - Son Sardina, Palma de Mallorca",1.190.000€,7 hab.,500 m²,False
"Casa o chalet independiente en Son Armadams, Palma de Mallorca",2.300.000€,4 hab.,565 m²,False
"Casa o chalet independiente en El Terreno, Palma de Mallorca",1.725.000€,6 hab.,234 m²,False
"Finca rústica en Establiments - Son Sardina, Palma de Mallorca",830.000€,3 hab.,450 m²,False
"Piso en calle de Miquel Porcel, Son Espanyolet, Palma de Mallorca",360.000€,3 hab.,80 m²,True
"Casa o chalet independiente en Establiments - Son Sardina, Palma de Mallorca",2.400.000€,7 hab.,900 m²,False
"Piso en calle de l'Arxiduc Lluís Salvador, L'Olivera - Amanecer, Palma de Mallorca",375.000€,4 hab.,134 m²,True
